,36,Phatmer_Diaz,12,198,Fri Jul 01 18:03:30 +0000 2011,30,327517027,False,
Bury St Edmunds,106,BenatDoxa,2,104,Thu Nov 18 21:57:31 +0000 2010,555,217210546,False,"Director at Doxa Clothing - seeking to produce ethically made, eco-friendly printed garments that represent something of the gospel. Married & dwell in BSE."
nairobi,5,sarahagunda,0,21,Wed Apr 06 19:55:35 +0000 2011,38,278190156,True,"loves socializing, reading, travelling and single"
nairobi,26,Machariamusyoka,2,170,Sun Feb 26 17:32:29 +0000 2012,178,504782036,True,cool collected and down to earth
Banbury,94,AMorrish95,12,94,Fri Nov 01 22:11:41 +0000 2013,75,2163960034,False,
Nairobi,114,steffiann10,57,133,Sat Dec 03 08:18:26 +0000 2011,1050,427226111,True,
Nairobi,341,maimunamohamed,13,585,Tue Jul 21 07:19:38 +0000 2009,533,58732865,True,
Bedrock,217,maqkennyn,8,255,Tue Apr 27 10:14:48 +0000 2010,1807,137650094,False,"Born to fly not to crawl, but walking for now till my wings can carry my weight!!!!"
"Nairobi, Kenya",57,lyntyna,2370,56,Tue Aug 02 09:55:08 +0000 2011,252,347133010,True,I love smiling. Smiling is and will alwaiz be a part of me. I love me coz am just me.
Nairobi Kenya,41,SKLangat,3,121,Tue Jun 01 13:09:40 +0000 2010,72,150644458,True,"Chief Science Secretary, National Council for Science and Technology, Kenya, Bioethicist, interested in science, technology, innovation, health issues"
Marsabit,192,RLechipan,20,640,Sat Nov 13 19:48:12 +0000 2010,710,215382628,False,FC Barcelona!
"Nairobi, Kenya",160,brainy_doctor,15,190,Sat Aug 06 14:44:21 +0000 2011,968,349690399,True,"When wealth is lost, nothing is lost; when health is lost, something is lost; when character is lost, all is lost..."
kenya,26,shixwaithira,1,88,Sat Jun 11 14:49:09 +0000 2011,7,315238196,False,I come on twitter to lead a fake life.. just like everyone else.
"Thika,kenya",86,cy_cy2,212,106,Mon Nov 05 08:34:40 +0000 2012,971,927181861,False,Follows you
Kenya(Nairobi),306,Kristy_Nish,58,241,Fri Feb 04 06:47:23 +0000 2011,9359,247167921,True,"Infectiously likeable ,a lover of people . FUTURE EX-WIFE TO TREMAINE ALDON NEVERSON(@treysongz)"
Nairobi,9397,Maseme77,321,2543,Mon Jan 11 06:48:55 +0000 2010,13207,103782034,True,Deputy Communications Officer | CORD ~ Orange Democratic Movement~ODM| Journalist | Manchester UTD| Adventist | Opinions Here Mine.
"Nairobi, Kenya",200,DebbieAugust,34,450,Wed Dec 01 12:46:41 +0000 2010,2016,221723510,True,"Guitars and music, Unashamedly Young, Fly and Saved."
World,1045,elephantvoices,0,1,Tue Jul 21 09:28:33 +0000 2009,167,58752106,False,"To inspire wonder in the intelligence, complexity and voices of elephants."
,10,SShantelsuzan,0,86,Wed Nov 13 16:59:18 +0000 2013,14,2192613499,False,i like how God created me coz he is faithful to me xo much
,2,mideveresha,0,4,Mon Oct 21 14:57:44 +0000 2013,3,1978968906,False,
"Kampala, Uganda",525,KyeyuneWilliam,109,1365,Wed Apr 25 10:06:11 +0000 2012,1668,562759327,False,"Doing all you can to find your purpose, then pursuing it"
,75,KipkemoiNelson,9,509,Tue Jan 10 18:28:58 +0000 2012,26,460399824,False,
Nairobi,84,Gashcarol,5,121,Fri Jul 01 06:07:57 +0000 2011,499,327226223,True,"#teamMUFC, Environmentalist"
"Nairobi, Kenya",695,nTunoi,379,714,Mon Sep 14 05:56:24 +0000 2009,11424,74086897,True,Lawyer | #TeamKenyaLaw | #TeamArsenal | Team @ccKenya
Nairobi,1,mohaasiff,0,8,Mon Nov 25 06:51:17 +0000 2013,1,2195134761,True,
Nairobi,596,Andrew_YT2,6,370,Mon Mar 07 07:27:14 +0000 2011,1047,262054135,True,"Husband, Father, Brother, Son, Friend.. yep, just your regular kinda guy.. with a twist."
,9,henrygatimu23,0,226,Thu Sep 26 19:20:42 +0000 2013,6,1908903864,False,
,60,adhyce,2,76,Fri Feb 25 12:25:57 +0000 2011,182,257438278,False,||.Me.||
,34,UNjobs_Energy,0,2,Fri Apr 12 02:11:13 +0000 2013,489,1345748214,False,
,5,LONEXBA,0,28,Wed Jun 27 15:26:47 +0000 2012,20,620093548,False,
Kenya,10,Chaffuzi,0,13,Mon Apr 18 07:21:47 +0000 2011,4,283903873,False,Out and about
Nairobi,61,shaffiecoombs,138,125,Tue Jul 13 08:33:21 +0000 2010,2921,166086537,True,"hehehe... wot can I say?? am me!! an entity on its own, a Human Apart...not to be judged with other Mortals!!!"
Nairobi,344,onyino_walter,6,998,Thu Mar 24 10:13:25 +0000 2011,1044,271354025,True,"Fulltime father of two crazy (after me) and lovely daughters. Otherwise ICT geek, Golfer, photographer, Ingwe fanatic. Views are entirely mine and mine alone."
uptown,177,carolmwikali,34,113,Thu Sep 27 15:27:34 +0000 2012,2892,849449221,False,Independent/christ follower/smart b my middle name
"Nairobi, Kenya",9,sir_chinzi,2,20,Mon Oct 28 06:14:22 +0000 2013,45,2156803061,True,"relationships are gud, so long as you don't fall in love"
langata,41,MinyegaD,9,678,Wed Mar 28 15:32:42 +0000 2012,316,539139385,False,
,15,HenryWest17,2,30,Wed Oct 02 16:27:12 +0000 2013,10,1927450003,False,
London,1190,RedRobertino,13,1552,Mon Dec 01 18:40:45 +0000 2008,7993,17785419,False,"Partner and MD Corporate and Public Affairs, Ketchum. Love shoes, politics, and baton twirling. Tweet in a personal capacity."
Secret society,876,BillyByarugaba,88,250,Tue Feb 01 15:03:19 +0000 2011,33848,245821688,False,"A realist with a split personality| Half Man, halF amazing.... Loved by liquor | Controversial| Farmer | KIUMINATTI |  *my tweets offend my political connect*"
Nairobi,38,eddieameyo,6,83,Mon Dec 03 05:13:19 +0000 2012,246,985976204,True,Loves life
nairobi,23,AustpatchSteve,9,89,Sun Jun 03 18:27:30 +0000 2012,142,598547327,True,humble/workin/ n like having funs/listener bt makes my own decitions
Earth,114,MaasaiMjisty11,11,160,Sat Nov 06 13:44:48 +0000 2010,2847,212581147,False,"Rabid Wolf, Liverpool Fan,Son, Brother, Potential Husband, Friend"
Nairobi,56,PatrickKahonge,1,120,Wed Jul 03 13:42:10 +0000 2013,484,1565794764,True,An Advocate and a firm believer in the now old skool adage  of hard work never goes unrewarded.
"Nairobi, Kenya",161,Monathige,4,316,Tue Oct 04 15:16:39 +0000 2011,838,384917545,True,"Corporate Trainer specializing in Customer Service, BPO basics, Recruitment and Team Building Facilitation. Associated with Indigo Consulting"
Nairobi,342,kithhe,104,265,Tue Apr 21 04:32:38 +0000 2009,7246,33812449,True,Unannounced. Expect me.
,0,vinnyorina,0,1,Tue Oct 29 04:22:51 +0000 2013,1,2158133855,False,
"Nairobi, Kenya",77,MalonzeAmbani,8,208,Fri Apr 24 08:38:26 +0000 2009,915,34882586,True,"Business Monger, Proud father of one daughter"
Queen Anne's Revenge,419,greggie_,99,715,Fri Dec 10 10:49:45 +0000 2010,7396,224985114,False,"Lawyer | Awesome Introvert | Mercurial | Versatile | Capo Di Tutti Capi | #Arsenal | #FCBarcelona | #FCBayern | #Crusaders Rugby |
CARPE DIEM"
Nairobi Kenya,14,MuriuAnne,0,128,Sun Sep 09 04:45:02 +0000 2012,47,812365813,True,"I love people, I love to touch lives, I love Arsenal...above all I love God"
Nairobi,114,yienyaphill,4,546,Sun Jan 15 06:08:04 +0000 2012,238,464413324,True,Logistics/Freight/Clearing &Forwading-Entrepreneur-SGS- E.A Ltd//Marketer....Chelsea Fan No 1!
Eldoret,304,Flowcie,27,711,Tue Jan 12 06:52:08 +0000 2010,1809,104093241,False,"Information Scientist | El Jefe |#Blaugrana ,#Gooner | I follow back"
,75,KoiKaruga,3,97,Fri Nov 25 07:34:11 +0000 2011,258,420902981,False,
Kenya,36,Karoline9210,17,245,Thu Aug 02 09:40:43 +0000 2012,150,732528996,False,
"-26.063669,27.985082",744,einyasha,8,921,Wed Oct 14 07:50:44 +0000 2009,2503,82304946,False,"All for market disruption! small businesses, the web, mobile...all African all Day!"
nairob kenya!,150,quywangui,6,123,Mon Feb 23 16:18:18 +0000 2009,544,21664659,False,YOU'RE FUTURE BIG STORY
Kenya,236,itsroba,20,241,Fri May 22 14:58:19 +0000 2009,8163,41827140,False,I am not interested in things that do not interest me!
kenya,8,norahw78,1,22,Thu Sep 26 10:46:01 +0000 2013,11,1907442852,False,
"Nakuru, Kenya",453,Fabokid,62,1973,Tue Jul 07 08:25:11 +0000 2009,1789,54489776,False,"▬☻☻☻▬▬▬▬▬Pirate, addict, astronaut, eye-candy, silent ****...Imma get the freak on ▬▬☻☻▬▬▬♫"
,0,kipsangdaniel7,0,19,Tue Dec 03 12:13:20 +0000 2013,1,2205869285,False,
,3,BettyNyam,0,21,Fri Nov 08 08:16:55 +0000 2013,1,2173077405,False,
Nairobi,536,moses_maina,110,534,Sun Oct 10 08:22:52 +0000 2010,1332,200795355,True,"I'm a Linux enthusiast, Software Development is a hobby and a career and I play for Open Source."
nairobi,3,TsomieseKen,2,32,Thu Sep 13 18:25:12 +0000 2012,18,821973584,True,
Hekima College Riara Road.,42,MefaCreations,3,221,Wed Mar 28 16:13:10 +0000 2012,51,539169073,False,"creating new designs that are dynamic, comfortable and modest."
,6,kenmarwa,0,8,Mon Mar 14 18:03:45 +0000 2011,1,266121272,False,
Nairobi ,321,gudieh,486,1403,Mon May 25 07:42:45 +0000 2009,1685,42370163,True,"Spontaneous, this is Me.."
Kenya,88,CescMwanyika,7,416,Sun Oct 16 19:19:24 +0000 2011,851,392252596,False,Never quit. Suffer now and live the rest of your life as a champion !
,10,BahlewaMohd,3,134,Sun May 20 20:15:18 +0000 2012,11,585958838,False,
nairobi,264,Ogega_,71,256,Thu Apr 28 19:35:24 +0000 2011,4561,289509615,True,...I and I :: #chelsea disciple i.e the CHAMPIONS of EUROPE #CFC :: me love #reggae music | house/trance +++
,2,momanyiogechi,0,23,Tue Oct 01 15:25:50 +0000 2013,3,1923805429,False,
Thika/Nairobi KE,860,GeeNyagah,370,466,Sat Jan 22 08:09:50 +0000 2011,37813,241446946,True,"I am good, not an angel.I do sin, I am not the devil. I am just a small girl in a big world trying to find someone to love"
,308,kinyagee,30,159,Sat Nov 06 16:25:23 +0000 2010,5634,212631955,False,simple girl|christian|web techie|hip hop head|rock head|dancer|joker|friend|lover|go getter|optimist|sanguine|adventurous|crazy|fun
,136,MugureKim,4,644,Wed Oct 05 11:33:54 +0000 2011,22,385370517,False,IP and broadband engineer/Philanthropist/love hiking . I can do all things thru Christ who strengthens me.
,6,JammieNotnice,1,59,Mon Sep 19 09:45:40 +0000 2011,32,376106897,False,
nyeri,4,mart_maina,6,87,Tue Oct 30 16:29:15 +0000 2012,282,914998087,False,a simple  n humble man
Nairobi Kenya,99,bm_wyn,63,115,Tue Dec 27 10:18:05 +0000 2011,220,447857345,True,"Yes I Am Diffrent,"
Nairobi,219,linukip,8,290,Wed Jun 17 12:41:54 +0000 2009,6604,47946996,True,Simply me.
"Nairobi, kenya",84,BenNgugi,0,431,Mon Sep 14 10:22:14 +0000 2009,664,74124824,True,A husband and a father with a really cool day job! A true son of mother earth!
nairobi,105,Aminga_Moraa,4,540,Thu Oct 22 15:04:28 +0000 2009,69,84345689,True,simply Awesome and Brilliant
,24,makserger,6,55,Sun Aug 28 18:57:24 +0000 2011,49,363818533,False,
nairobi,103,Adhiiambo,30,120,Thu Mar 03 01:25:28 +0000 2011,3688,260011616,True,There is so much best in the worst of us and so much worst in the best of us
,28,dhavpatel92,22,259,Fri Aug 20 09:21:54 +0000 2010,130,180723790,False,
Kenya,60,quoey,2,84,Fri Jun 12 14:23:02 +0000 2009,231,46660995,False,The heroes are on the sidelines
Nairobi,36,AyayaWendo,1,40,Thu Mar 15 21:34:38 +0000 2012,131,525770860,True,
Nairobi kenya. ,6,LexusIan,0,46,Sun May 12 14:41:45 +0000 2013,1,1423277376,True,CARS MY DRUG. PILOT.
NAIROBI KENYA,57,DOLPHINEEEE,8,76,Sun Sep 19 09:14:58 +0000 2010,292,192492819,True,"EASY GOING, LOVE FASHION, ENTERTAIMENT AND READING  WAT U SEE IS WAT U GET"
,62,Benrazy2ly,5,338,Thu Sep 13 08:25:36 +0000 2012,34,821120738,False,
Nairobi,108,KithinjiMalcolm,6,108,Mon Apr 15 23:11:22 +0000 2013,113,1355569873,True,hiii
Dubai,185,bintmashy,675,167,Thu Jul 02 23:31:23 +0000 2009,3334,53225215,False,
Nairobi,308,OtwomaGee,72,472,Thu Jul 07 19:45:33 +0000 2011,2303,331187762,True,Simple | Social | Leader | Freelance Writer | Microbiologist | Christian |
Nairobi Kenya,30,samuelochieng1,4,230,Sat Jan 15 08:20:37 +0000 2011,31,238485338,True,
,10,mathsadundo,7,86,Sat Sep 15 05:12:31 +0000 2012,32,824596069,False,
,41,fmusasa,2,254,Wed Mar 21 20:04:06 +0000 2012,60,532602276,False,
Kenya,498,DirBoscoJnr,91,366,Sun Sep 25 06:19:17 +0000 2011,1482,379582422,False,"Cinematographer
official contacts boscojnr@gmail.com
            Cell .+254720923074"
"nairobi, kenya",25,Shishigachuhi,29,49,Sat Nov 17 19:47:01 +0000 2012,70,954207788,True,the only true source of satisfaction in this journey called life is Jesus Christ Psalms 62:1- my soul finds rest in God ALONE
"Nairobi,Kenya.",287,G2THEFLOW,138,80,Wed Mar 02 05:30:23 +0000 2011,3060,259589296,True,#BLESSED KENYAN ARTISTE #0733813931/0724813931 #EVENTS MANAGER.
kenya,561,Oyouguy,7,277,Wed Sep 09 14:17:12 +0000 2009,4335,72862005,False,the same fence that shuts others out..shuts you in..#befree #beopen
"CHEBARBAR, LANGAS. ",1080,chalis_lokong,467,781,Tue Aug 07 15:37:49 +0000 2012,22834,743136164,False,Departmental head Race relation.Manager museum. Departmental head in intolerance | MUFC|HIP HOP|#WU~TANG4LIFE
kenya,94,WereVictor,806,469,Thu Mar 10 20:21:09 +0000 2011,1352,263822719,False,Am alive today so are you praise  be the name of the Lord. Am blessed.Entrepreneur
Kenya,15173,kenyavision2030,108,270,Thu Apr 28 07:12:30 +0000 2011,4067,289216066,False,V2030 is the national long-term development blueprint that aims to transform Kenya into a middle-income country providing a high quality of life to its citizens
Manzini,423,smsofresh,1,223,Mon Jan 03 11:54:42 +0000 2011,730,233502853,False,"Mphumelelo is my name and if you don't know what it mean, make the effort to find out! The REALEST Ground Claimer!"
nairobi,16,isaackariukireg,4,95,Thu Feb 02 13:04:06 +0000 2012,33,481212715,True,
"Nairobi, kenya",4,africaxpkenya,0,111,Mon Nov 11 17:58:41 +0000 2013,17,2188794342,True,We offer free to air and pay or multichannel broadcasters easy access to the right content for African audiences at a great price and with minimal logistics.
Nairobi,32,YCenkT,6,111,Wed Mar 28 13:24:13 +0000 2012,206,539124225,True,
,56,Allianzmunchen,0,526,Thu Oct 17 03:20:42 +0000 2013,9,718499896,False,
Nairobi,111,SimonMinjire,79,183,Fri Jul 09 20:11:36 +0000 2010,1768,164803406,True,"Zeal and passion drive me, project management and information systems are my  playing field"
"Burke, Virginia",63,DuriaO,43,78,Fri Jan 06 12:12:48 +0000 2012,548,456580428,False,Kill them with success and bury them with a smile
nairobi,435,Qaliwa,76,433,Mon Jan 02 15:02:53 +0000 2012,10608,453066976,True,Am just me
,9,asulmet,4,59,Mon Jun 08 18:34:52 +0000 2009,25,45633984,False,
,3,JoyceMuchai,5,6,Fri Apr 13 04:08:43 +0000 2012,14,552491247,False,
Nairobi,640,NicyIzMe,157,695,Sat May 12 14:57:36 +0000 2012,14724,578125964,True,"humble and respectful republican#team_man u
#teamkogalo
#teamdancehall254
#teamhiphop 
#teamONEDROP
#teamfreeworlboss
#teamHBR
http://t.co/WtQ7rCjmKU"
Nairobi,43,pbotieno,5,105,Wed Jun 10 08:58:47 +0000 2009,560,46071191,True,
anywhere...,80,gracebru,231,288,Wed Mar 09 08:43:50 +0000 2011,1960,263058464,False,"hustler,lover....living,loving,life:-P:-XO:-):-$"
"Mombasa,Kenya",106,Iddi_Kenya,9,202,Thu Jun 21 09:28:08 +0000 2012,1087,614170726,False,Singer|Song writer|Rapper|Performing Artist|Beat Maker Contact: iddikenya@gmail.com
"Nairobi, Kenya",120,onejgordon,7,219,Tue Mar 11 14:46:06 +0000 2008,140,14123972,True,Designing digital in Nairobi
,107,Nicxso,30,528,Sat Jul 30 19:53:56 +0000 2011,4603,345553909,False,Not yet...Still gliding...Looking for  suitable conditions to jump start my jet engine
nairobi kenya,114,rojaaay,0,351,Thu Dec 09 18:23:48 +0000 2010,118,224725093,True,
nairobi kenya,3,kuriasolomon,3,22,Wed Jan 04 14:53:08 +0000 2012,17,454921606,True,
Kenya,23,LKingoo,1,51,Fri Aug 26 08:54:21 +0000 2011,127,362374209,False,
,67,Pmbiti,6,42,Mon Apr 27 09:06:17 +0000 2009,182,35704896,False,
Nairobi ,2,ocleophs39,0,32,Thu Oct 24 12:17:45 +0000 2013,1,2152857127,True,
,0,solowanclgads62,0,1,Mon Dec 02 14:32:29 +0000 2013,3,2204659888,False,
Brother-In-Christ Zone,1261,TheKenyanBoy,154,459,Mon Feb 22 11:19:04 +0000 2010,26733,116419637,False,"Colonial Chieftain,Art lover,That Guy Your Mum Told You To Bring Home."
,17,jocke_johan_p,0,24,Tue Oct 01 19:42:36 +0000 2013,3,1924388772,False,
"Nairobi, Kenya",271,fiona_maina,71,405,Fri Jun 29 14:02:21 +0000 2012,2513,621928486,True,Intelligent. Composed. Dignified
Nairobi,14,Engpolycarp,2,58,Mon May 16 16:08:00 +0000 2011,24,299735720,True,Am not superiour to anybody on earth!
,52,Arisfello,11,194,Thu Feb 16 11:11:58 +0000 2012,585,493956004,False,Black and proud Computer Scientist ready to mingle
Nairobi,22,OnyangoEsborn,2,60,Sat Apr 23 21:01:25 +0000 2011,221,286859674,True,"Agribusiness Specialist/Agriprenuer/Agricultural Consultant/Farmer. Studies at University of Nairobi,lives in Nairobi"
"Nairobi,Kenya.",408,Kareokey_254,415,400,Wed Jun 20 11:56:59 +0000 2012,4646,613458462,True,GOD ABOVE EVERYTHING
London UK,186,EmilyAnderson_,415,196,Fri Oct 07 20:39:42 +0000 2011,2766,386748115,False,
nairobi,136,andreasmecca,5,309,Mon Jun 08 14:39:20 +0000 2009,509,45578093,True,"Rebel technologist,Adventurer,Speed junkie,Emancipation"
"Nairobi,Kenya",188,Nyacky,87,213,Tue Mar 08 17:00:54 +0000 2011,3567,262732061,True,"Simple Sophistications 
Complex Simplicities #TeamArsenal   Law School  #TeamBarcelona When life gives me lemons,
I complain about the lemons"
nairobi Kenya ,198,carol_kawira,115,218,Thu May 31 20:33:01 +0000 2012,3140,595803440,True,i talk too much
Nairobi,111,EmamuikM,11,111,Tue Oct 11 10:14:30 +0000 2011,488,388779798,True,Been the best of me
,1,odangarobert,1,47,Sat Feb 23 15:39:07 +0000 2013,3,1212487134,False,
254,215,job_okemwa,7,357,Fri Nov 04 17:47:07 +0000 2011,533,404983638,False,"Turkana County AIDS and STI Coordinator and Sub-County Medical Officer of Health Loima,Neo Soul  & Chelsea supporter,proponent of good leadership and governance"
International,276,Jamerii,12,824,Tue Mar 20 12:36:33 +0000 2012,1201,531280467,False,"Lover of God !Producer,TED Global 2013 Speaker,  Saxophonist\Woodwind  Brass\Electro-Specialistlist\ Artist\Musician\  Lover of Music !!"
,7,JulieMarami,1,91,Tue May 07 15:19:02 +0000 2013,10,1410507163,False,
"Nairobi, Kenya",3474,raidarmax,7,1094,Thu Feb 26 16:00:23 +0000 2009,20888,22024674,True,"Kenyan. Father. Husband. DJ. Photographer. Founder, http://Niaje.com."
Nairobi,101,thenamlich,28,151,Thu Aug 04 18:02:59 +0000 2011,6711,348601391,True,a politician and a Gor Mahia disciple
Nairobi kenya,14,Nathan39633441,2,126,Sun Jul 07 04:01:26 +0000 2013,19,1574256956,True,"tall,dark,handsome"
Nigeria/nairobi,259,Raymondbrown30,0,264,Fri Aug 12 21:28:01 +0000 2011,372,353930226,True,IG-@aceraymond99 100% yoruba boy #OLUWAACEKING
Nairobi,55,Enockateku,32,383,Wed Sep 19 08:58:35 +0000 2012,208,832904438,True,"A God fearing man n i know that definately a day will come when all we do will be judged! I always ask myself, WHAT WILL JESUS DO before i make any decision!"
"Nairobi,+254",476,WayRo254,84,481,Wed Mar 28 14:52:39 +0000 2012,4727,539109421,True,iHIGH || iRAP || iTWEEF || HippyShit!  || Realist || October Kidd || If you're scared go to church.|| http://t.co/EQdVMS33gc            http://t.co/ZlkvsRpuq0
"Nairobi, Kenya.",147,iAMstreetking,8,356,Fri May 22 13:04:15 +0000 2009,5850,41807171,True,"What I need in my life, My Car, My phone and My computer... I'm a geek... nuff said.."
,272,Qasirjiidh,12,603,Fri Aug 26 16:43:13 +0000 2011,725,362577142,False,"Having EVERYTHING Doesn't Make You
SPECIAL. Having SOMEONE Who VALUES
You More Than EVERYTHING, That's
Special ♥ ♥ ♥.....//frendshp//"
Nairobi,167,pierreoposh,0,171,Mon Jan 10 10:28:34 +0000 2011,313,236333705,True,Public Relations and Communications Officer @KenyaRedCross http://www.kenyaredcross.org Alleviating Human Suffering and Serving Humanity | Views here are my own
"Kenya, Nairobi",79,Tejanishehzad,0,140,Mon Oct 04 06:29:08 +0000 2010,222,198407959,True,Founder and HOD - Sales & Marketing of Bamba Rewards Ltd/Education. Innovation in Africa and CSR for Underprivileged Children
,127,epms89,2064,95,Wed Dec 12 13:51:43 +0000 2012,5058,1006390140,False,Dicen que murió de frío. Yo sé que murió de amor
nairobi,0,marymwas20,0,0,Sun Sep 29 09:55:58 +0000 2013,1,1916731886,True,
Naivasha ,0,preciousblessi5,0,8,Fri May 17 05:40:40 +0000 2013,4,1434774654,False,
I just want to be in Vancouver,760,muchina__,70,596,Mon Nov 28 21:52:35 +0000 2011,18291,423742353,False,"Why wish upon a star while you can pray to the one who created it?
Gunner. 
Trying to make it."
,40,MHottenshiah,6,147,Sun Feb 10 12:52:04 +0000 2013,154,1165840226,False,M¡§§ Bàârd A$$.see my follow button?ad tap that out :p
Kenya,121,Samiemangla,3,237,Mon May 16 12:47:21 +0000 2011,255,299632849,False,
,0,MutindiSarah,0,10,Tue Dec 03 15:25:06 +0000 2013,3,2228443958,False,
Nairobi,152,Muriuki_Josphat,16,251,Mon Apr 27 04:33:15 +0000 2009,2285,35670955,True,"Retirement Benefits/Investment Consultant, Family man, Husband to one @ruthwakini , Dad Osteen. All opinions are mine, ReTweets are not necessarily Endorsements"
"Nairobi, Kenya",53,DanstanMN,3,218,Wed Apr 10 15:37:27 +0000 2013,136,1342205672,True,Engineer | Banker | Strategist | Analyst | All Blacks | Man utd
Nairobi kenya,89,delionpaw,11,516,Wed Mar 16 15:33:36 +0000 2011,1242,267242160,True,
"ÜT: 40.737056,-73.981521",831,e_russels,630,393,Thu Sep 30 15:53:32 +0000 2010,53300,197073347,False,"Running toward my dreams, tripped over reality and hit my head on the truth."
"Tallinn, Estonia",79,igorhobotov,337,68,Mon Aug 30 07:55:11 +0000 2010,503,184703891,False,
nairobi,39,ADurows,6,269,Mon Sep 23 08:44:24 +0000 2013,63,1896626592,True,humanitarian worker/public health specialist/die hard gooner/simple
"Lodwar, Turkana",243,ekainabenyo,10,1329,Sat Oct 01 07:57:31 +0000 2011,1608,383095718,False,"Law Student at the University of Nairobi, Community Developer and Youth Leader, Founder- Locodein Community Based Organization and Blogger"
nairobi,261,shamsmuna,99,350,Mon Oct 10 15:17:33 +0000 2011,2982,388322700,True,Never stop doing the little things for other people. Sometimes it's those little things that will occupy the biggest parts of their hearts
,22,DrJanetNjeri,48,73,Sun Oct 06 12:40:25 +0000 2013,122,1940856122,False,
Nairobi - Kenya,16,MungaiSospeter,0,169,Fri Aug 05 10:02:15 +0000 2011,44,348981847,True,Counseling Psychologist and Image Consultant
,40,nginamaundu,13,174,Fri Aug 30 15:10:20 +0000 2013,16,1713019105,False,
Nairobi,121,BuildingInc,11,422,Sun Dec 18 07:52:45 +0000 2011,1121,439839822,True,"Construction Consultant-Building Inc. Founder&CEO. A living testimony that if you can think it, dream it,desire it, work towards it , you will get it."
"Juja, Kenya",8,soscieyashal,0,35,Fri Aug 10 07:36:30 +0000 2012,62,748860884,False,
" Nairobi, Kenya",782,MsMariaMaali,63,397,Fri Mar 13 10:25:28 +0000 2009,12447,24153275,True,•Team Top 30 under 30• Views expressed here are my own•
Nairobi,131,Joy_Wanyonyi,2,160,Mon Apr 06 06:30:56 +0000 2009,297,29156646,True,
Nairobi,85,CharchiEva,6,152,Fri Mar 16 08:32:27 +0000 2012,430,526175882,True,It is what it is...
Nairobi,291,AminElchie,1,1726,Wed Mar 09 07:38:26 +0000 2011,834,263041751,True,"I'm a rebel, soul rebel
I'm a capturer, soul adventurer!"
,34,allonijoh,0,95,Tue Mar 22 15:01:10 +0000 2011,40,270397375,False,
Nairobi,510,Katyakuyoh,27,496,Fri Feb 20 22:24:09 +0000 2009,6536,21441094,True,I'm not perfect but at least I'm me :) Just TOO blessed to be stressed...
Nairobi,780,kelkinoti,75,833,Thu Apr 30 16:33:11 +0000 2009,2564,36705318,True,\Definately not in floccinaucinihilipilification business®……lest yo a PrOnK®.....!/
"Nairobi, Kenya ♕",180,Kaydarn,51,203,Thu Oct 07 11:40:33 +0000 2010,4420,199640702,True,"I don't know if this is the realest bio I wrote but know the realest nigga wrote this!
╭∩╮⎝╰⏝╯⎠╭∩╮"
Nairobi - Kenya,581,FlossyMuthoni,9,835,Thu Aug 05 07:17:25 +0000 2010,3717,174958127,True,Acts like a lady & Sleeps like a royal baby. A wild flower-Daughter-Sister-Aunt-A friend & A wannabe mum. Masters Student.  #Peace -:)
,343,soniekimorori,141,602,Thu Aug 23 10:26:19 +0000 2012,3947,775663231,False,"If nobody hates you, you are doing something boring :p oh and p.s The life and love we create is the life and love we live,wise words"
"Nairobi,Kenya",20,KOmbach,2,104,Sun Aug 19 22:50:35 +0000 2012,66,768381895,True,''Every man is a damn fool for at least five minutes every day; wisdom consists in not exceeding the limit.'' ........................Elbert Hubbard
Nairobi/Kenya,82,Gatonga02,7,432,Fri Jun 26 11:06:26 +0000 2009,1107,51014791,True,"Am a strong believer of equality, equity and justice for all."
"Nairobi, Kenya",1325,AndikaSerah,560,1296,Thu Oct 08 12:47:11 +0000 2009,6879,80840393,True,Just because you are unique does not mean you are useful. Forever #MUFC....
"Nairobi, Kenya",614,Wa_NDIA,121,277,Thu May 07 11:28:31 +0000 2009,10820,38412785,True,Colourful | Often my imagination runs amok | I long to spend more time with my camera | Music is the soundtrack to my life | Sustainability | TRAVELLER
Nairobi,32,Christmugambi,20,106,Mon Aug 27 10:48:06 +0000 2012,356,784386014,True,
Nairobi,158,CiruSwiryK,111,198,Thu Mar 12 23:12:11 +0000 2009,3425,24064002,True,"Talk about tourism in Kenya, talk about conservation, talk about music...Then you and I have a lot to talk about. :-) Oh yeah, and current events..."
,2,Olaba_babaK,0,28,Wed Nov 27 14:39:44 +0000 2013,4,2198010082,False,
,196,fay_yee,2,148,Fri May 18 14:27:37 +0000 2012,3419,583852865,False,@
"Nairobi,Kenya",230,Feliqz1,142,316,Sat Nov 24 15:02:50 +0000 2012,6941,968184511,True,I'M ME MMG for lyf/MAN U FC
,756,thomasamter,3,1603,Tue Oct 07 18:51:55 +0000 2008,2835,16634289,False,"New & old media, producer, reporter, director, consultant, media stuff etc. Views are my own, NO one else's. RTs are NOT endorsements."
Surrey ladyyy on an adventure!,248,natashareema,270,403,Sun Oct 17 19:12:40 +0000 2010,1713,204026729,False,☆★ *Wild spark* fuelled by coffee & pic'n'mix with tendencies to offend people & desires to travel the world!! @NatReemaTravels ★☆
"Nairobi, Kenya",12,NaftaliKihara,3,47,Fri Oct 11 14:28:12 +0000 2013,14,1954315244,True,
